site_event_id,event_id,Year,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,Rounds,HolesCounted
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Gannon Buhr,75412,1061,196,-11,1,1,1,1,1,0,0,0,17,32,5,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Richard Wysocki,38008,1050,196,-11,2,0,1,1,1,0,0,1,17,28,8,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,199,-8,3,0,1,1,1,0,0,0,16,31,7,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1035,200,-7,4,0,0,1,1,1,0,1,14,31,8,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Joseph Anderson,122356,1032,201,-6,5,0,0,1,1,0,0,0,15,32,7,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Chris Dickerson,62467,1037,202,-5,6,0,0,1,1,0,0,0,12,36,6,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Ty Love,89959,1024,204,-3,7,0,0,1,1,0,0,0,14,32,8,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Aaron Gossage,35449,1041,205,-2,8,0,0,1,1,0,0,0,13,31,10,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Adam Hammes,57365,1036,206,-1,T9,0,0,1,1,0,0,0,15,27,12,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Matthew Orum,18330,1033,206,-1,T9,0,0,1,1,0,0,0,11,36,7,3,54
